timestamp,cpu,ram,disco,qtd_processos,mac
2025-10-24_00-09-15,6.6,84.5,55.1,277,276246685787227
2025-10-24_00-09-31,10.7,86.3,55.1,277,276246685787227
2025-10-24_00-09-47,11.2,86.1,55.1,277,276246685787227
2025-10-24_00-10-04,8.8,85.4,55.1,276,276246685787227
2025-10-24_00-10-23,7.2,84.9,55.1,273,276246685787227
2025-10-24_00-07-37,6.2,85.6,55.1,278,276246685787227
2025-10-24_00-07-53,5.3,85.5,55.1,278,276246685787227
2025-10-24_00-08-10,5.0,85.5,55.1,277,276246685787227
2025-10-24_00-08-26,7.4,83.9,55.1,277,276246685787227
2025-10-24_00-08-43,8.4,84.3,55.1,277,276246685787227
2025-10-24_00-08-59,5.3,84.3,55.1,277,276246685787227
2025-10-24_00-09-15,6.6,84.5,55.1,277,276246685787227
2025-10-24_00-09-31,10.7,86.3,55.1,277,276246685787227
2025-10-24_00-09-47,11.2,86.1,55.1,277,276246685787227
2025-10-24_00-10-04,8.8,85.4,55.1,276,276246685787227
2025-10-24_00-10-23,7.2,84.9,55.1,273,276246685787227
2025-10-24_00-10-41,7.2,85.1,55.1,273,276246685787227
2025-10-24_00-07-37,6.2,85.6,55.1,278,276246685787227
2025-10-24_00-07-53,5.3,85.5,55.1,278,276246685787227
2025-10-24_00-08-10,5.0,85.5,55.1,277,276246685787227
2025-10-24_00-08-26,7.4,83.9,55.1,277,276246685787227
2025-10-24_00-08-43,8.4,84.3,55.1,277,276246685787227
2025-10-24_00-08-59,5.3,84.3,55.1,277,276246685787227
2025-10-24_00-09-15,6.6,84.5,55.1,277,276246685787227
2025-10-24_00-09-31,10.7,86.3,55.1,277,276246685787227
2025-10-24_00-09-47,11.2,86.1,55.1,277,276246685787227
2025-10-24_00-10-04,8.8,85.4,55.1,276,276246685787227
2025-10-24_00-10-23,7.2,84.9,55.1,273,276246685787227
2025-10-24_00-10-41,7.2,85.1,55.1,273,276246685787227
2025-10-24_00-10-58,6.9,84.4,55.1,273,276246685787227
2025-10-24_09-35-38,4.2,78.8,55.2,275,276246685787227
2025-10-24_09-35-38,4.2,78.8,55.2,275,276246685787227
2025-10-24_09-35-58,10.6,78.5,55.2,276,276246685787227
2025-10-24_09-35-38,4.2,78.8,55.2,275,276246685787227
2025-10-24_09-35-58,10.6,78.5,55.2,276,276246685787227
2025-10-24_09-36-17,6.3,78.5,55.2,278,276246685787227
2025-10-24_09-35-38,4.2,78.8,55.2,275,276246685787227
2025-10-24_09-35-58,10.6,78.5,55.2,276,276246685787227
2025-10-24_09-36-17,6.3,78.5,55.2,278,276246685787227
2025-10-24_09-36-36,6.7,78.2,55.2,278,276246685787227
2025-10-24_09-35-38,4.2,78.8,55.2,275,276246685787227
2025-10-24_09-35-58,10.6,78.5,55.2,276,276246685787227
2025-10-24_09-36-17,6.3,78.5,55.2,278,276246685787227
2025-10-24_09-36-36,6.7,78.2,55.2,278,276246685787227
2025-10-24_09-36-55,11.0,78.6,55.2,279,276246685787227
2025-10-24_09-35-38,4.2,78.8,55.2,275,276246685787227
2025-10-24_09-35-58,10.6,78.5,55.2,276,276246685787227
2025-10-24_09-36-17,6.3,78.5,55.2,278,276246685787227
2025-10-24_09-36-36,6.7,78.2,55.2,278,276246685787227
2025-10-24_09-36-55,11.0,78.6,55.2,279,276246685787227
2025-10-24_09-37-14,8.6,78.2,55.2,278,276246685787227
2025-10-24_09-35-38,4.2,78.8,55.2,275,276246685787227
2025-10-24_09-35-58,10.6,78.5,55.2,276,276246685787227
2025-10-24_09-36-17,6.3,78.5,55.2,278,276246685787227
2025-10-24_09-36-36,6.7,78.2,55.2,278,276246685787227
2025-10-24_09-36-55,11.0,78.6,55.2,279,276246685787227
2025-10-24_09-37-14,8.6,78.2,55.2,278,276246685787227
